country,date,text,category
Barbados,28 September 2022,Staff-level agreement on request for an arrangement reached,
Barbados,7 December 2022,Board approved,
Barbados,12 May 2023,Staff-level agreement on first review,
Barbados,22 June 2023,First disbursement of SDR 14.175 million approved,disbursement
Barbados,18 December 2023,Second disbursement of SDR 42.525 million approved,disbursement
