country,date,text,category
Mauritania,27 October 2023,Staff-level agreement on request for an arrangement reached,
Mauritania,19 December 2023,Board approved,
Mauritania,4 June 2024,First disbursement of SDR 14.86 million approved,disbursement
Mauritania,18 December 2024,Second disbursement of SDR 29.72 million approved,disbursement
