country,date,text,category
Costa Rica,4 October 2022,Staff-level agreement on request for an arrangement reached,
Costa Rica,14 November 2022,Board approved,
Costa Rica,28 April 2023,Staff-level agreement on first review,
Costa Rica,26 June 2023,First disbursement of SDR 184.7 million approved,disbursement
