country,date,text,category
Paraguay,6 November 2023,Staff-level agreement on request for an arrangement reached,
Paraguay,19 December 2023,Board approved,
Paraguay,27 June 2024,First disbursement of SDR 75.525 million approved,disbursement
Paraguay,18 December 2024,Second disbursement of SDR 186.28 million approved,disbursement
