country,date,text,category
Jamaica,15 December 2022,Staff-level agreement on request for an arrangement reached,
Jamaica,2 March 2023,Board approved,
Jamaica,31 August 2023,First disbursement of SDR 191.45 million approved,disbursement
Jamaica,1 March 2024,Second disbursement of SDR 191.45 million approved,disbursement
Jamaica,30 August 2024,Third disbursement of SDR 191.45 million approved,
