country,date,text,category
Bangladesh,9 November 2022,Staff-level agreement on request for an arrangement reached,
Bangladesh,30 January 2023,Board approved,
Bangladesh,12 December 2023,First disbursement of SDR 166.67 million approved,disbursement
Bangladesh,24 June 2024,Second disbursement of SDR166.68 million approved,disbursement
